Date;AAPL;MSFT;GOOG
2024-07-10;231.6325989;461.9430847;191.5682983
2024-07-11;226.2539063;450.4997864;186.2386475
2024-07-12;229.2067261;449.3603821;185.7215881
2024-07-15;233.0444031;449.7666016;187.1236267
2024-07-16;233.4619751;445.3676147;184.4488525
2024-07-17;227.5563354;439.4230347;181.5851746
2024-07-18;222.8835144;436.3020935;178.2044525
2024-07-19;223.0127563;433.0722656;178.3734894
2024-07-22;222.6647949;438.8484192;182.3110504
2024-07-23;223.7086945;440.7407532;182.5596313
2024-07-24;217.276123;424.9381104;173.3819275
2024-07-25;216.2322235;414.5351257;168.2014618
2024-07-26;216.6994934;421.3416138;167.7241669
2024-07-29;216.9778748;422.788147;170.1602936
2024-07-30;217.5346222;419.0133667;170.8861389
2024-07-31;220.7956543;414.4855652;172.1688385
2024-08-01;217.097168;413.2569885;171.4727936
2024-08-02;218.588501;404.7166443;167.4457397
2024-08-05;208.0597382;391.4998474;159.7297211
2024-08-06;206.0315552;395.9186707;159.6302948
2024-08-07;208.6065521;394.7496033;159.8390961
2024-08-08;212.0763702;398.9702148;162.9116058
2024-08-09;214.9894409;402.2694397;164.4528046
2024-08-12;216.5223083;403.052124;163.0209656
2024-08-13;220.2449646;410.1856384;164.9897461
2024-08-14;220.6929016;413.0093079;161.1118622
2024-08-15;223.6790009;417.8926086;162.2453918
2024-08-16;225.0028381;415.3517456;163.8065033
2024-08-19;224.8435822;418.3889465;167.4457397
2024-08-20;225.4607086;421.6345825;168.002594
2024-08-21;225.3511963;420.9794922;166.6801147
2024-08-22;223.4898834;412.4534607;164.5522461
2024-08-23;225.7891693;413.6842346;166.4812469
2024-08-26;226.1275787;410.408844;166.9784088
2024-08-27;226.9736481;410.7562256;165.4372101
2024-08-28;225.4407806;407.5403442;163.5678558
2024-08-29;228.7255096;410.0415955;162.4740753
2024-08-30;227.9391632;414.0316772;164.1743927
2024-09-03;221.7380219;406.3890381;157.7112427
2024-09-04;219.8269196;405.8530579;156.9157715
2024-09-05;221.349823;405.3468628;157.7013092
2024-09-06;219.7970734;398.7067261;151.2679443
2024-09-09;219.8866425;402.6967468;148.8883667
2024-09-10;219.0903473;411.1135864;149.356308
2024-09-11;221.6285248;419.8876953;151.4869843
2024-09-12;221.7380219;423.8181763;154.8622131
2024-09-13;221.4692841;427.3814392;157.6798706
2024-09-16;215.3179016;428.125824;158.2971954
2024-09-17;215.7857056;431.9074402;159.5815582
2024-09-18;219.6676636;427.599762;160.1092529
2024-09-19;227.8097687;435.4210815;162.528656
2024-09-20;227.142868;432.0265198;163.9225464
2024-09-23;225.4208832;430.2796631;162.3594208
2024-09-24;226.3167114;425.9720154;162.9269257
2024-09-25;225.3213501;428.8900757;162.2797699
2024-09-26;226.4660187;428.0960083;163.1161041
2024-09-27;226.7347565;424.8305359;164.5697174
2024-09-30;231.9206543;427.0935974;166.4614563
2024-10-01;225.1620941;417.5552368;167.6860809
2024-10-02;225.7294617;414.0217285;166.5809326
2024-10-03;224.624588;413.4361267;166.481369
2024-10-04;225.7493591;412.9597168;167.8254852
2024-10-07;220.6630249;406.4882813;163.6736603
2024-10-08;224.7241364;411.619751;164.9779358
2024-10-09;228.4766693;414.3492432;162.3494415
2024-10-10;227.9789734;412.7413025;162.4689331
2024-10-11;226.4958954;413.2177734;163.8030853
2024-10-14;230.2285156;416.0167542;165.6251221
2024-10-15;232.7667084;415.6196899;166.172699
2024-10-16;230.7062836;413.0192261;166.0134277
2024-10-17;231.0745697;413.6147766;163.7931213
2024-10-18;233.9113617;415.0440369;164.33078
2024-10-21;235.3845215;415.6594238;165.0775146
2024-10-22;234.767395;424.3244019;166.0930786
2024-10-23;229.6910095;421.4360657;163.7632599
2024-10-24;229.5019073;421.565094;163.8130493
2024-10-25;230.3380127;424.9595642;166.2623138
2024-10-28;232.3187714;423.4111938;167.6064301
2024-10-29;232.5875244;428.7313232;170.3942413
2024-10-30;229.0340729;429.3069763;175.3724365
2024-10-31;224.8634796;403.322052;171.9375
2024-11-01;221.8773804;407.3120728;171.8976593
2024-11-04;220.9815369;405.4163208;169.9362335
2024-11-05;222.4148865;408.3939514;170.6630859
2024-11-06;221.6882629;417.0489807;177.5529022
2024-11-07;226.4262085;422.2598572;181.4856873
2024-11-08;226.1571655;419.3914185;179.0762634
2024-11-11;223.4368286;414.8951721;181.1770477
2024-11-12;223.4368286;419.8777466;182.5211487
2024-11-13;224.3236694;422.0315857;179.7035065
2024-11-14;227.4127045;423.7090149;176.577179
2024-11-15;224.2040863;411.9075928;173.1322479
2024-11-18;227.2134094;412.6619263;176.0295563
2024-11-19;227.4724884;414.6768188;178.7974548
2024-11-20;228.1899414;412.3939209;176.5572662
2024-11-21;227.7116394;410.613739;168.5025177
2024-11-22;229.0568695;414.7211609;165.8441467
2024-11-25;232.0462494;416.5013733;168.6916809
2024-11-26;234.2285004;425.6510925;169.8764954
2024-11-27;234.0989685;420.6784058;170.0756378
2024-11-29;236.4904785;421.1458435;169.7470703
2024-12-02;238.7424774;428.6247559;172.2262115
2024-12-03;241.7916565;428.8435669;172.266037
2024-12-04;242.1503754;435.0295715;175.3226624
2024-12-05;242.1802826;440.2011414;173.550415
2024-12-06;241.9809875;441.1459656;175.720932
2024-12-09;245.8771515;443.5825195;176.5283203
2024-12-10;246.8935547;440.9072571;185.9278717
2024-12-11;245.6180725;446.5363464;196.0750122
2024-12-12;247.082901;447.103241;193.0049591
2024-12-13;247.2522736;444.8257446;190.762207
2024-12-16;250.1519775;449.1221313;197.52034
2024-12-17;252.5833435;451.9764099;196.4836884
2024-12-18;247.1725616;434.9997253;189.5361786
2024-12-19;248.9064026;434.6416931;189.087616
2024-12-20;253.5897827;434.2140503;192.3371277
